FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NYDFS Requirement Title,Target ID #,NYDFS Requirement Description,Notes
164.312(e)(2)(i),Integrity Controls,Description Measures to ensure integrity of PHI on transmission Regulation Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,medium,functional,"HIPAA 164.312(e)(2)(i) requires Description Measures to ensure integrity of PHI on transmission Regulation Implement security measures to ensure that electronically transmitted electronic protected health info.... NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: data protection. HIPAA emphasizes ensure, integrity, measures; NYDFS additionally includes encryption, nonpublic, 500."
164.312(e)(2)(ii),Encryption,Description Mechanism for encryption of transmitted PHI Regulation Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,medium,functional,"HIPAA 164.312(e)(2)(ii) requires Description Mechanism for encryption of transmitted PHI Regulation Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.. NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: data protection. HIPAA emphasizes mechanism, appropriate, deemed; NYDFS additionally includes nonpublic, 500, assessment."
164.314(a)(1),Business Associate Contracts or Other Arrangements,"Description CE must ensure BA safeguards PHI Regulation (i) The contract or other arrangement between the covered entity and its business associate required by § 164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable. (ii) A covered entity is not in compliance with the standards in § 164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a mate...",medium,functional,HIPAA 164.314(a)(1) requires Description CE must ensure BA safeguards PHI Regulation (i) The contract or other arrangement between the covered entity and its business associate required by § 164.308(b) must.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address incident response. HIPAA is narrower and fits within NYDFS scope.,subset_of,6,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","Shared scope: incident response; data protection. HIPAA emphasizes associate, business, other; NYDFS additionally includes assessment, risk, 500."
164.314(a)(2),Business Associate Contracts,"Description BACs must contain security language Regulation (i) Business associate contracts. The contract between a covered entity and a business associate must provide that the business associate will-- (A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as requ...",medium,functional,"HIPAA 164.314(a)(2) requires Description BACs must contain security language Regulation (i) Business associate contracts. The contract between a covered entity and a business associate must provide that the.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address access control. HIPAA covers broader scope than NYDFS.",superset_of,6,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Shared scope: access control; incident response; data protection. HIPAA additionally includes associate, contracts, bacs; NYDFS emphasizes incident, plan, response."
164.314(b)(1),Requirements for Group Health Plans,"Description Plan documents must reflect security safeguards Regulation Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on beh...",medium,functional,"HIPAA 164.314(b)(1) requires Description Plan documents must reflect security safeguards Regulation Except when the only electronic protected health information disclosed to a plan sponsor is disclosed purs.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: access control; data protection. Divergence: HIPAA emphasizes disclosed, requirements, 164; NYDFS emphasizes incident, response, 500."
164.314(b)(2)(i),Implement Safeguards,"Description Plan sponsor to implement safeguards as appropriate Regulation The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to-- (i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;",medium,functional,"HIPAA 164.314(b)(2)(i) requires Description Plan sponsor to implement safeguards as appropriate Regulation The plan documents of the group health plan must be amended to incorporate provisions to require the p.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: data protection. Divergence: HIPAA emphasizes implement, safeguards, sponsor; NYDFS emphasizes incident, response, 500."
164.314(b)(2)(ii),Ensure Adequate Separation,Description Security measures to separate PHI from plan sponsor and plan Regulation Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures;,medium,functional,HIPAA 164.314(b)(2)(ii) requires Description Security measures to separate PHI from plan sponsor and plan Regulation Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonab.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.,subset_of,6,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","Shared scope: data protection. HIPAA emphasizes adequate, ensure, plan; NYDFS additionally includes assessment, risk, 500."
164.314(b)(2)(iii),Ensure Agents Safeguard,"Description Ensure subcontractors safeguard PHI Regulation Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and",medium,functional,"HIPAA 164.314(b)(2)(iii) requires Description Ensure subcontractors safeguard PHI Regulation Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable.... NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: data protection. HIPAA emphasizes ensure, safeguard, agent; NYDFS additionally includes encryption, nonpublic, 500."
164.314(b)(2)(iv),Report Security Incidents,Description Plan sponsors report breaches to health plan Regulation Report to the group health plan any security incident of which it becomes aware.,medium,functional,"HIPAA 164.314(b)(2)(iv) requires Description Plan sponsors report breaches to health plan Regulation Report to the group health plan any security incident of which it becomes aware.. NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: incident response. Divergence: HIPAA emphasizes report, aware, becomes; NYDFS emphasizes response, 500, affecting."
164.316(a),Policies and Procedures,"Description P&P to ensure safeguards to PHI Regulation A covered entity must, in accordance with § 164.306: Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.306(b)(2)(i), (ii), (iii), and (iv). This standard is not to be construed to permit or excuse an action that violates any other standard, implementation specification, or othe...",medium,functional,"HIPAA 164.316(a) requires Description P&P to ensure safeguards to PHI Regulation A covered entity must, in accordance with § 164.306: Implement reasonable and appropriate policies and procedures to compl.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. HIPAA covers broader scope than NYDFS.",superset_of,6,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Shared scope: governance and policy; data protection. HIPAA additionally includes 164, accordance, description; NYDFS emphasizes 500, basis, data."
164.316(b)(1),Documentation,"Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",medium,functional,"HIPAA 164.316(b)(1) requires Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which ma.... NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... Both address risk management. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.2 Cybersecurity program,500.2,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...","Shared scope: risk management; governance and policy. HIPAA emphasizes documentation, actions, activities; NYDFS additionally includes 500."
164.316(b)(2)(i),Time Limit,"Description Retain documentation for 6 years Regulation Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.",medium,functional,HIPAA 164.316(b)(2)(i) requires Description Retain documentation for 6 years Regulation Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the da.... NYDFS 500.9 requires (a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as requ.... Both address security and privacy governance. HIPAA is narrower and fits within NYDFS scope.,subset_of,6,500.9 Risk assessment,500.9,"(a) Each covered entity shall conduct a periodic risk assessment of the covered entity’s information systems sufficient to inform the design of the cybersecurity program as required by this Part. Such risk assessment shall be updated as reasonably necessary to address changes to the covered entity’s information systems, nonpublic information or business operations. The covered entity’s risk assessment shall allow for revision of controls to respond to technological developments and evolving t...","Shared scope: none identified. HIPAA emphasizes date, documentation, retain; NYDFS additionally includes assessment, risk, 500."
164.316(b)(2)(ii),Availability,Description Documentation available to system administrators Regulation Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,medium,functional,"HIPAA 164.316(b)(2)(ii) requires Description Documentation available to system administrators Regulation Make documentation available to those persons responsible for implementing the procedures to which the do.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes documentation, available, administrators; NYDFS emphasizes 500, basis, data."
164.316(b)(2)(iii),Updates,"Description Periodic review and updates to changing needs Regulation Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.",medium,functional,"HIPAA 164.316(b)(2)(iii) requires Description Periodic review and updates to changing needs Regulation Review documentation periodically, and update as needed, in response to environmental or operational changes.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: audit and monitoring; data protection. Divergence: HIPAA emphasizes updates, affecting, changes; NYDFS emphasizes access, privileges, 500."
