FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,PCI DSS 4 Requirement Title,Target ID #,PCI DSS 4 Requirement Description,Notes
164.312(d),Person or Entity Authentication,Description Procedures to verify identities Regulation Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,medium,functional,"HIPAA 164.312(d) requires Description Procedures to verify identities Regulation Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.196). Review for expert calibration.
164.312(e)(1),Transmission Security,Description Measures to guard against unauthorized access to transmitted PHI Regulation Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,medium,functional,"HIPAA 164.312(e)(1) requires Description Measures to guard against unauthorized access to transmitted PHI Regulation Implement technical security measures to guard against unauthorized access to electronic protected health information that is being . PCI DSS 4 9.2.3 requires Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.2.3,"Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted. [CUSTOMIZED APPROACH OBJECTIVE]: Physical networking equipment cannot be accessed by unauthorized personnel. [Purpose]: Without appropriate physical security over access to wireless components and devices, and computer networking and telecommunications equipment and lines, malicious users could gain access to the entity’s network resources. Additionally, they could connect their own devices to the network to gain unauthorized access to the CDE or systems connected to the CDE. Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.206). Review for expert calibration.
164.312(e)(2)(i),Integrity Controls,Description Measures to ensure integrity of PHI on transmission Regulation Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,medium,functional,HIPAA 164.312(e)(2)(i) requires Description Measures to ensure integrity of PHI on transmission Regulation Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without . PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.179). Review for expert calibration.
164.312(e)(2)(ii),TECHNICAL SAFEGUARDS,Description Mechanism for encryption of transmitted PHI Regulation Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,medium,functional,"HIPAA 164.312(e)(2)(ii) requires Description Mechanism for encryption of transmitted PHI Regulation Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.. PCI DSS 4 3.7.9 requires Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure tran. Both address encryption and transmission security. Both address encryption and transmission security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Protect Stored Account Data,3.7.9,"Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and updating of such keys is documented and distributed to the service provider’s customers [CUSTOMIZED APPROACH OBJECTIVE]: Customers are provided with appropriate key management guidance whenever they receive shared cryptographic keys. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. [Purpose]: Providing guidance to customers on how to securely transmit, store, and update cryptographic keys can help prevent keys from being mismanaged or disclosed to unauthorized entities. [Further Information]: Numerous industry standards for key management are cited above in the Guidance for Requirements 3.7.1-3.7.8.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.161). Review for expert calibration.
164.314(a)(1),Business Associate Contracts or Other Arrangements,"Description CE must ensure BA safeguards PHI Regulation (i) The contract or other arrangement between the covered entity and its business associate required by § 164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable. (ii) A covered entity is not in compliance with the standards in § 164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a material breach or violation of the business associate's obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful. (A) Terminated the contract or arrangement, if feasible; or (B) If termination is not feasible, reported the problem to the Secretary.",medium,functional,HIPAA 164.314(a)(1) requires Description CE must ensure BA safeguards PHI Regulation (i) The contract or other arrangement between the covered entity and its business associate required by § 164.. PCI DSS 4 12.9.2 requires Defined Approach Requirements: Additional requirement for service providers only: TPSPs support their customers’ requests for information to meet Requirements 12.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Support Information Security with Organizational Policies and Programs,12.9.2,"Defined Approach Requirements: Additional requirement for service providers only: TPSPs support their customers’ requests for information to meet Requirements 12.8.4 and 12.8.5 by providing the following upon customer request: • PCI DSS compliance status information (Requirement 12.8.4). • Information about which PCI DSS requirements are the responsibility of the TPSP and which are the responsibility of the customer, including any shared responsibilities (Requirement 12.8.5), for any service the TPSP provides that meets a PCI DSS requirement(s) on behalf of customers or that can impact security of customers’ cardholder data or sensitive authentication data. [CUSTOMIZED APPROACH OBJECTIVE]: TPSPs provide information as needed to support their customers’ PCI DSS compliance efforts. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. [Purpose]: If a TPSP does not provide the necessary information to enable its customers to meet their security and compliance requirements, the customers will not be able to protect cardholder data nor meet their own contractual obligations. [Good Practice]: If a TPSP has a PCI DSS Attestation of Compliance (AOC), the expectation is that the TPSP should provide that to customers upon request to demonstrate their PCI DSS compliance status. If the TPSP did not undergo a PCI DSS assessment, they may be able to provide other sufficient evidence to demonstrate that it has met the applicable requirements without undergoing a formal compliance validation. For example, the TPSP can provide specific evidence to the entity’s assessor so the assessor can confirm applicable requirements are met. Alternatively, the TPSP can elect to undergo multiple on-demand assessments by each of its customers’ assessors, with each assessment targeted to confirm that applicable requirements are met. TPSPs should provide sufficient evidence to their customers to verify that the scope of the TPSP’s PCI DSS assessment covered the services applicable to the customer and that the relevant PCI DSS requirements were examined and determined to be in place. TPSPs may define their PCI DSS responsibilities to be the same for all their customers; otherwise, this responsibility should be agreed upon by both the customer and TPSP. It is important that the customer understands which PCI DSS requirements and sub-requirements its TPSPs have agreed to meet, which requirements are shared between the TPSP and the customer, and for those that are shared, specifics about how the requirements are shared and which entity is responsible for meeting each sub-requirement. An example of a way to document these responsibilities is via a matrix that identifies all applicable PCI DSS requirements and indicates whether the customer or TPSP is responsible for meeting that requirement or whether it is a shared responsibility. [Further Information]: For further guidance, refer to: PCI DSS section: Use of Third-Party Service Providers. Information Supplement: Third-Party Security Assurance (includes a sample responsibility matrix template).",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.190). Review for expert calibration.
164.314(a)(2),Business Associate Contracts,"Description BACs must contain security language Regulation (i) Business associate contracts. The contract between a covered entity and a business associate must provide that the business associate will-- (A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart; (B) Ensure that any agent, including a subcontractor, to whom it provides such information agrees to implement reasonable and appropriate safeguards to protect it; (C) Report to the covered entity any security incident of which it becomes aware; (D) Authorize termination of the contract by the covered entity, if the covered entity determines that the business associate has violated a material term of the contract. (ii) Other arrangements. (A) When a covered entity and its business associate are both governmental entities, the covered entity is in compliance with paragraph (a)(1) of this section, if - (1) It enters into a memorandum of understanding with the business associate that contains terms that accomplish the objectives of paragraph (a)(2)(i) of this section; or (2) Other law (including regulations adopted by the covered entity or its business associate) contains requirements applicable to the business associate that accomplish the objectives of paragraph (a)(2)(i) of this section. (B) If a business associate is required by law to perform a function or activity on behalf of a covered entity or to provide a service described in the definition of business associate as specified in § 160.103 of this subchapter to a covered entity, the covered entity may permit the business associate to create, receive, maintain, or transmit electronic protected health information on its behalf to the extent necessary to comply with the legal mandate without meeting the requirements of paragraph (a)(2)(i) of this section, provided that the covered entity attempts in good faith to obtain satisfactory assurances as required by paragraph (a)(2)(ii)(A) of this section, and documents the attempt and the reasons that these assurances cannot be obtained. (C) The covered entity may omit from its other arrangements authorization of the termination of the contract by the covered entity, as required by paragraph (a)(2)(i)(D) of this section if such authorization is inconsistent with the statutory obligations of the covered entity or its business associate.",medium,functional,HIPAA 164.314(a)(2) requires Description BACs must contain security language Regulation (i) Business associate contracts.. PCI DSS 4 12.9.1 requires Defined Approach Requirements: Additional requirement for service providers only: TPSPs provide written agreements to customers that include acknowledgments that TPSPs are responsible for the security of account data the. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Support Information Security with Organizational Policies and Programs,12.9.1,"Defined Approach Requirements: Additional requirement for service providers only: TPSPs provide written agreements to customers that include acknowledgments that TPSPs are responsible for the security of account data the TPSP possesses or otherwise stores, processes, or transmits on behalf of the customer, or to the extent that the TPSP could impact the security of the customer’s cardholder data and/or sensitive authentication data. [CUSTOMIZED APPROACH OBJECTIVE]: TPSPs formally acknowledge their security responsibilities to their customers. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. The exact wording of an agreement will depend on the details of the service being provided, and the responsibilities assigned to each party. The agreement does not have to include the exact wording provided in this requirement. The TPSP’s written acknowledgment is a confirmation that states the TPSP is responsible for the security of the account data it may store, process, or transmit on behalf of the customer or to the extent the TPSP may impact the security of a customer’s cardholder data and/or sensitive authentication data. Evidence that a TPSP is meeting PCI DSS requirements is not the same as a written agreement specified in this requirement. For example, a PCI DSS Attestation of Compliance (AOC), a declaration on a company’s website, a policy statement, a responsibility matrix, or other evidence not included in a written agreement is not a written acknowledgment. [Purpose]: In conjunction with Requirement 12.8.2, this requirement is intended to promote a consistent level of understanding between TPSPs and their customers about their applicable PCI DSS responsibilities. The acknowledgment from the TPSP evidences the TPSP’s commitment to maintaining proper security of the account data that it obtains from its customers. The TPSP’s internal policies and procedures related to their customer engagement process and any templates used for written agreements should include provision of an applicable PCI DSS acknowledgement to its customers. The method by which the TPSP provides written acknowledgment should be agreed between the provider and its customers.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.224). Review for expert calibration.
164.314(b)(1),Requirements for Group Health Plans,"Description Plan documents must reflect security safeguards Regulation Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",medium,functional,HIPAA 164.314(b)(1) requires Description Plan documents must reflect security safeguards Regulation Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.. PCI DSS 4 12.1.2 requires Defined Approach Requirements: The information security policy is: Reviewed at least once every 12 months.. Both address security objectives and safeguard effectiveness.,not_related,1,Support Information Security with Organizational Policies and Programs,12.1.2,"Defined Approach Requirements: The information security policy is: Reviewed at least once every 12 months. Updated as needed to reflect changes to business objectives or risks to the environment. [CUSTOMIZED APPROACH OBJECTIVE]: The information security policy continues to reflect the organization’s strategic objectives and principles. [Purpose]: Security threats and associated protection methods evolve rapidly. Without updating the information security policy to reflect relevant changes, new measures to defend against these threats may not be addressed.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.067). Review for expert calibration.
164.314(b)(2)(i),Implement Safeguards,"Description Plan sponsor to implement safeguards as appropriate Regulation The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to-- (i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;",medium,functional,HIPAA 164.314(b)(2)(i) requires Description Plan sponsor to implement safeguards as appropriate Regulation The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to-- (i) Implement administrati. PCI DSS 4 9.4.2 requires Defined Approach Requirements: All media with cardholder data is classified in accordance with the sensitivity of the data.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.2,Defined Approach Requirements: All media with cardholder data is classified in accordance with the sensitivity of the data. [CUSTOMIZED APPROACH OBJECTIVE]: Media are classified and protected appropriately. [Purpose]: Media not identified as confidential may not be adequately protected or may be lost or stolen. [Good Practice]: It is important that media be identified such that its classification status is apparent. This does not mean however that the media needs to have a “confidential” label.,Auto-mapped from JSON extraction using lexical + theme scoring (score=0.183). Review for expert calibration.
164.314(b)(2)(ii),Ensure Adequate Separation,Description Security measures to separate PHI from plan sponsor and plan Regulation Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures;,medium,functional,"HIPAA 164.314(b)(2)(ii) requires Description Security measures to separate PHI from plan sponsor and plan Regulation Ensure that the adequate separation required by § 164.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.180). Review for expert calibration.
164.314(b)(2)(iii),Ensure Agents Safeguard,"Description Ensure subcontractors safeguard PHI Regulation Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and",medium,functional,"HIPAA 164.314(b)(2)(iii) requires Description Ensure subcontractors safeguard PHI Regulation Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protec. PCI DSS 4 3.7.1 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Protect Stored Account Data,3.7.1,"Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Strong cryptographic keys are generated. [Purpose]: Use of strong cryptographic keys significantly increases the level of security of encrypted account data. [Further Information]: See the sources referenced at ""Cryptographic Key Generation in Appendix G.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.203). Review for expert calibration.
164.314(b)(2)(iv),Report Security Incidents,Description Plan sponsors report breaches to health plan Regulation Report to the group health plan any security incident of which it becomes aware.,medium,functional,"HIPAA 164.314(b)(2)(iv) requires Description Plan sponsors report breaches to health plan Regulation Report to the group health plan any security incident of which it becomes aware.. PCI DSS 4 12.10.2 requires Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.2,"Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed. Tested, including all elements listed in Requirement 12.10.1. [CUSTOMIZED APPROACH OBJECTIVE]: The incident response plan is kept current and tested periodically. [Purpose]: Proper testing of the security incident response plan can identify broken business processes and ensure key steps are not missed, which could result in increased exposure during an incident. Periodic testing of the plan ensures that the processes remain viable, as well as ensuring that all relevant personnel in the organization are familiar with the plan. [Good Practice]: The test of the incident response plan can include simulated incidents and the corresponding responses in the form of a “table-top exercise”, that include participation by relevant personnel. A review of the incident and the quality of the response can provide entities with the assurance that all required elements are included in the plan.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.191). Review for expert calibration.
164.316(a),Policies and Procedures,"Description P&P to ensure safeguards to PHI Regulation A covered entity must, in accordance with § 164.306: Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.306(b)(2)(i), (ii), (iii), and (iv). This standard is not to be construed to permit or excuse an action that violates any other standard, implementation specification, or other requirements of this subpart. A covered entity may change its policies and procedures at any time, provided that the changes are documented and are implemented in accordance with this subpart.",medium,functional,"HIPAA 164.316(a) requires Description P&P to ensure safeguards to PHI Regulation A covered entity must, in accordance with § 164.. PCI DSS 4 12.5.1 requires Defined Approach Requirements: An inventory of system components that are in scope for PCI DSS, including a description of function/use, is maintained and kept current.. Both address malware and system integrity. Both address malware and system integrity. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.5.1,"Defined Approach Requirements: An inventory of system components that are in scope for PCI DSS, including a description of function/use, is maintained and kept current. [CUSTOMIZED APPROACH OBJECTIVE]: All system components in scope for PCI DSS are identified and known. [Purpose]: Maintaining a current list of all system components will enable an organization to define the scope of its environment and implement PCI DSS requirements accurately and efficiently. Without an inventory, some system components could be overlooked and be inadvertently excluded from the organization’s configuration standards. [Good Practice]: If an entity keeps an inventory of all assets, those system components in scope for PCI DSS should be clearly identifiable among the other assets. Inventories should include containers or images that may be instantiated. Assigning an owner to the inventory helps to ensure the inventory stays current. [Examples]: Methods to maintain an inventory include as a database, as a series of files, or in an inventorymanagement tool.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.219). Review for expert calibration.
164.316(b)(1),ORGANIZATIONAL REQUIREMENTS,"Description Document P&P and actions & activities Regulation Documentation. (i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and (ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",medium,functional,"HIPAA 164.316(b)(1) requires Description Document P&P and actions & activities Regulation Documentation.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address risk management. Both address risk management. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.239). Review for expert calibration.
164.316(b)(2)(i),Time Limit,"Description Retain documentation for 6 years Regulation Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.",medium,functional,"HIPAA 164.316(b)(2)(i) requires Description Retain documentation for 6 years Regulation Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is. PCI DSS 4 A3.3.1.1 requires [Defined Approach Requirements] Failures of any critical security control systems are responded to promptly.. Both address security objectives and safeguard effectiveness.",not_related,1,Designated Entities Supplemental Validation,A3.3.1.1,"[Defined Approach Requirements] Failures of any critical security control systems are responded to promptly. Processes for responding to failures in security control systems include: Restoring security functions. Identifying and documenting the duration (date and time from start to end) of the security failure. Identifying and documenting the cause(s) of failure, including root cause, and documenting remediation required to address the root cause. Identifying and addressing any security issues that arose during the failure. Determining whether further actions are required as a result of the security failure. Implementing controls to prevent the cause of failure from reoccurring. Resuming monitoring of security controls. PCI DSS Reference: Requirements 1-12",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.062). Review for expert calibration.
164.316(b)(2)(ii),ORGANIZATIONAL REQUIREMENTS,Description Documentation available to system administrators Regulation Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,medium,functional,HIPAA 164.316(b)(2)(ii) requires Description Documentation available to system administrators Regulation Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.. PCI DSS 4 9.2.4 requires Defined Approach Requirements: Access to consoles in sensitive areas is restricted via locking when not in use.. Both address security objectives and safeguard effectiveness.,not_related,1,Restrict Physical Access to Cardholder Data,9.2.4,"Defined Approach Requirements: Access to consoles in sensitive areas is restricted via locking when not in use. [CUSTOMIZED APPROACH OBJECTIVE]: Physical consoles within sensitive areas cannot be used by unauthorized personnel. [Purpose]: Locking console login screens prevents unauthorized persons from gaining access to sensitive information, altering system configurations, introducing vulnerabilities into the network, or destroying records.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.064). Review for expert calibration.
164.316(b)(2)(iii),ORGANIZATIONAL REQUIREMENTS,"Description Periodic review and updates to changing needs Regulation Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.",medium,functional,"HIPAA 164.316(b)(2)(iii) requires Description Periodic review and updates to changing needs Regulation Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic p. PCI DSS 4 12.10.2 requires Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.2,"Defined Approach Requirements: At least once every 12 months, the security incident response plan is: Reviewed and the content is updated as needed. Tested, including all elements listed in Requirement 12.10.1. [CUSTOMIZED APPROACH OBJECTIVE]: The incident response plan is kept current and tested periodically. [Purpose]: Proper testing of the security incident response plan can identify broken business processes and ensure key steps are not missed, which could result in increased exposure during an incident. Periodic testing of the plan ensures that the processes remain viable, as well as ensuring that all relevant personnel in the organization are familiar with the plan. [Good Practice]: The test of the incident response plan can include simulated incidents and the corresponding responses in the form of a “table-top exercise”, that include participation by relevant personnel. A review of the incident and the quality of the response can provide entities with the assurance that all required elements are included in the plan.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.221). Review for expert calibration.
